instruction,input,output
Berapa poin yang didapatkan mahasiswa yang menjadi juara II tingkat regional/wilayah di PILMAPRES?,,Mahasiswa yang menjadi juara II di PILMAPRES tingkat regional/wilayah mendapatkan 75 poin sebagai bentuk apresiasi.
Berapa poin yang didapatkan mahasiswa yang menjadi juara III tingkat regional/wilayah di PILMAPRES?,,Mahasiswa yang menjadi juara III di PILMAPRES tingkat regional/wilayah mendapatkan 60 poin sebagai bentuk apresiasi.
Berapa poin yang didapatkan mahasiswa yang menjadi juara I tingkat nasional di PILMAPRES?,,Mahasiswa yang menjadi juara I di PILMAPRES tingkat nasional mendapatkan 120 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan mahasiswa yang menjadi juara II tingkat nasional di PILMAPRES?,,Mahasiswa yang menjadi juara II di PILMAPRES tingkat nasional mendapatkan 100 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan mahasiswa yang menjadi juara III tingkat nasional di PILMAPRES?,,Mahasiswa yang menjadi juara III di PILMAPRES tingkat nasional mendapatkan 85 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan mahasiswa yang lolos tahap pertama (Tingkat Fakultas) di KDMI?,,Mahasiswa yang lolos tahap pertama (Tingkat Fakultas) di KDMI mendapatkan 15 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan mahasiswa yang lolos tahap kedua (Tingkat Universitas) di KDMI?,,Mahasiswa yang lolos tahap kedua (Tingkat Universitas) di KDMI mendapatkan 20 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan mahasiswa yang menjadi juara I tingkat regional/wilayah di KDMI?,,Mahasiswa yang menjadi juara I di KDMI tingkat regional/wilayah mendapatkan 70 poin sebagai bentuk apresiasi.
Berapa poin yang didapatkan mahasiswa yang menjadi juara II tingkat regional/wilayah di KDMI?,,Mahasiswa yang menjadi juara II di KDMI tingkat regional/wilayah mendapatkan 60 poin sebagai bentuk apresiasi.
Berapa poin yang didapatkan mahasiswa yang menjadi juara III tingkat regional/wilayah di KDMI?,,Mahasiswa yang menjadi juara III di KDMI tingkat regional/wilayah mendapatkan 50 poin sebagai bentuk apresiasi.
Berapa poin yang didapatkan mahasiswa yang menjadi juara I tingkat nasional di KDMI?,,Mahasiswa yang menjadi juara I di KDMI tingkat nasional mendapatkan 100 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan mahasiswa yang menjadi juara II tingkat nasional di KDMI?,,Mahasiswa yang menjadi juara II di KDMI tingkat nasional mendapatkan 80 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan mahasiswa yang menjadi juara III tingkat nasional di KDMI?,,Mahasiswa yang menjadi juara III di KDMI tingkat nasional mendapatkan 70 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan mahasiswa yang lolos tahap pertama (Tingkat Fakultas) di NUDC?,,Mahasiswa yang lolos tahap pertama (Tingkat Fakultas) di NUDC mendapatkan 20 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan mahasiswa yang lolos tahap kedua (Tingkat Universitas) di NUDC?,,Mahasiswa yang lolos tahap kedua (Tingkat Universitas) di NUDC mendapatkan 25 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan mahasiswa yang menjadi juara I tingkat regional/wilayah di NUDC?,,Mahasiswa yang menjadi juara I di NUDC tingkat regional/wilayah mendapatkan 75 poin sebagai bentuk apresiasi.
Berapa poin yang didapatkan mahasiswa yang menjadi juara II tingkat regional/wilayah di NUDC?,,Mahasiswa yang menjadi juara II di NUDC tingkat regional/wilayah mendapatkan 65 poin sebagai bentuk apresiasi.
Berapa poin yang didapatkan mahasiswa yang menjadi juara III tingkat regional/wilayah di NUDC?,,Mahasiswa yang menjadi juara III di NUDC tingkat regional/wilayah mendapatkan 55 poin sebagai bentuk apresiasi.
Berapa poin yang didapatkan mahasiswa yang menjadi juara I tingkat nasional di NUDC?,,Mahasiswa yang menjadi juara I di NUDC tingkat nasional mendapatkan 110 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan mahasiswa yang menjadi juara II tingkat nasional di NUDC?,,Mahasiswa yang menjadi juara II di NUDC tingkat nasional mendapatkan 90 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan mahasiswa yang menjadi juara III tingkat nasional di NUDC?,,Mahasiswa yang menjadi juara III di NUDC tingkat nasional mendapatkan 80 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang lolos tahap pertama di KBMK?,,Ketua tim yang lolos tahap pertama di KBMK mendapatkan 5 poin sebagai bentuk penghargaan atas keberhasilannya melanjutkan ke tahap berikutnya.
Berapa poin yang didapatkan anggota tim yang lolos tahap pertama di KBMK?,,Anggota tim yang lolos tahap pertama di KBMK mendapatkan 2 poin sebagai bentuk penghargaan atas keberhasilannya melanjutkan ke tahap berikutnya.
Berapa poin yang didapatkan ketua tim yang lolos tahap kedua di KBMK?,,Ketua tim yang lolos tahap kedua di KBMK mendapatkan 10 poin sebagai bentuk penghargaan atas pencapaiannya melangkah ke babak semifinal.
Berapa poin yang didapatkan anggota tim yang lolos tahap kedua di KBMK?,,Anggota tim yang lolos tahap kedua di KBMK mendapatkan 7 poin sebagai bentuk penghargaan atas pencapaiannya melangkah ke babak semifinal.
Berapa poin yang didapatkan ketua tim yang lolos tahap ketiga di KBMK?,,Ketua tim yang lolos tahap ketiga di KBMK mendapatkan 15 poin sebagai bentuk penghargaan atas pencapaiannya melangkah ke Grand Final.
Berapa poin yang didapatkan anggota tim yang lolos tahap ketiga di KBMK?,,Anggota tim yang lolos tahap ketiga di KBMK mendapatkan 10 poin sebagai bentuk penghargaan atas pencapaiannya melangkah ke Grand Final.
Berapa poin yang didapatkan ketua tim yang menjadi juara I di KBMK?,,Ketua tim yang menjadi juara I di KBMK mendapatkan 50 poin sebagai bentuk apresiasi atas prestasi tertingginya dalam kompetisi ini.
Berapa poin yang didapatkan anggota tim yang menjadi juara I di KBMK?,,Anggota tim yang menjadi juara I di KBMK mendapatkan 40 poin sebagai bentuk apresiasi atas prestasi tertingginya dalam kompetisi ini.
Berapa poin yang didapatkan ketua tim yang menjadi juara II di KBMK?,,Ketua tim yang menjadi juara II di KBMK mendapatkan 40 poin sebagai bentuk apresiasi atas pencapaiannya di kompetisi ini.
Berapa poin yang didapatkan anggota tim yang menjadi juara II di KBMK?,,Anggota tim yang menjadi juara II di KBMK mendapatkan 30 poin sebagai bentuk apresiasi atas pencapaiannya di kompetisi ini.
Berapa poin yang didapatkan ketua tim yang menjadi juara III di KBMK?,,Ketua tim yang menjadi juara III di KBMK mendapatkan 30 poin sebagai bentuk apresiasi atas keberhasilannya meraih posisi ketiga dalam kompetisi ini.
Berapa poin yang didapatkan anggota tim yang menjadi juara III di KBMK?,,Anggota tim yang menjadi juara III di KBMK mendapatkan 20 poin sebagai bentuk apresiasi atas keberhasilannya meraih posisi ketiga dalam kompetisi ini.
Berapa poin yang didapatkan ketua tim yang lolos tahap pertama di SATRIA DATA?,,Ketua tim yang lolos tahap pertama di SATRIA DATA mendapatkan 5 poin.
Berapa poin yang didapatkan anggota tim yang lolos tahap pertama di SATRIA DATA?,,Anggota tim yang lolos tahap pertama di SATRIA DATA mendapatkan 2 poin.
Berapa poin yang didapatkan ketua tim yang lolos tahap kedua di SATRIA DATA?,,Ketua tim yang lolos tahap kedua di SATRIA DATA mendapatkan 10 poin.
Berapa poin yang didapatkan anggota tim yang lolos tahap kedua di SATRIA DATA?,,Anggota tim yang lolos tahap kedua di SATRIA DATA mendapatkan 7 poin.
Berapa poin yang didapatkan ketua tim yang lolos tahap ketiga di SATRIA DATA?,,Ketua tim yang lolos tahap ketiga di SATRIA DATA mendapatkan 15 poin.
Berapa poin yang didapatkan anggota tim yang lolos tahap ketiga di SATRIA DATA?,,Anggota tim yang lolos tahap ketiga di SATRIA DATA mendapatkan 10 poin.
Berapa poin yang didapatkan ketua tim yang menjadi juara I di SATRIA DATA?,,Ketua tim yang menjadi juara I di SATRIA DATA mendapatkan 50 poin.
Berapa poin yang didapatkan anggota tim yang menjadi juara I di SATRIA DATA?,,Anggota tim yang menjadi juara I di SATRIA DATA mendapatkan 40 poin.
Berapa poin yang didapatkan ketua tim yang menjadi juara II di SATRIA DATA?,,Ketua tim yang menjadi juara II di SATRIA DATA mendapatkan 40 poin.
Berapa poin yang didapatkan anggota tim yang menjadi juara II di SATRIA DATA?,,Anggota tim yang menjadi juara II di SATRIA DATA mendapatkan 30 poin.
Berapa poin yang didapatkan ketua tim yang menjadi juara III di SATRIA DATA?,,Ketua tim yang menjadi juara III di SATRIA DATA mendapatkan 30 poin.
Berapa poin yang didapatkan anggota tim yang menjadi juara III di SATRIA DATA?,,Anggota tim yang menjadi juara III di SATRIA DATA mendapatkan 20 poin.
Berapa poin yang didapatkan ketua tim yang lolos tahap pertama di KBMK?,,Ketua tim yang lolos tahap pertama di KBMK mendapatkan 5 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan anggota tim yang lolos tahap pertama di KBMK?,,Anggota tim yang lolos tahap pertama di KBMK mendapatkan 2 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang lolos tahap kedua (semifinal) di KBMK?,,Ketua tim yang lolos tahap kedua (semifinal) di KBMK mendapatkan 10 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan anggota tim yang lolos tahap kedua (semifinal) di KBMK?,,Anggota tim yang lolos tahap kedua (semifinal) di KBMK mendapatkan 7 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang lolos tahap ketiga (Grand Final) di KBMK?,,Ketua tim yang lolos tahap ketiga (Grand Final) di KBMK mendapatkan 15 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan anggota tim yang lolos tahap ketiga (Grand Final) di KBMK?,,Anggota tim yang lolos tahap ketiga (Grand Final) di KBMK mendapatkan 10 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang juara I di KBMK?,,Ketua tim yang juara I di KBMK mendapatkan 50 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan anggota tim yang juara I di KBMK?,,Anggota tim yang juara I di KBMK mendapatkan 40 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang juara II di KBMK?,,Ketua tim yang juara II di KBMK mendapatkan 40 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan anggota tim yang juara II di KBMK?,,Anggota tim yang juara II di KBMK mendapatkan 30 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang juara III di KBMK?,,Mahasiswa yang lolos tahap kedua (Tingkat Universitas) di NUDC mendapatkan 25 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan anggota tim yang juara III di KBMK?,,Mahasiswa yang menjadi juara I di NUDC tingkat regional/wilayah mendapatkan 75 poin sebagai bentuk apresiasi.
Berapa poin yang didapatkan ketua tim yang lolos tahap pertama di SATRIA DATA?,,Mahasiswa yang menjadi juara II di NUDC tingkat regional/wilayah mendapatkan 65 poin sebagai bentuk apresiasi.
Berapa poin yang didapatkan anggota tim yang lolos tahap pertama di SATRIA DATA?,,Mahasiswa yang menjadi juara III di NUDC tingkat regional/wilayah mendapatkan 55 poin sebagai bentuk apresiasi.
Berapa poin yang didapatkan ketua tim yang lolos tahap kedua (semifinal) di SATRIA DATA?,,Mahasiswa yang menjadi juara I di NUDC tingkat nasional mendapatkan 110 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan anggota tim yang lolos tahap kedua (semifinal) di SATRIA DATA?,,Mahasiswa yang menjadi juara II di NUDC tingkat nasional mendapatkan 90 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang lolos tahap ketiga (Grand Final) di SATRIA DATA?,,Mahasiswa yang menjadi juara III di NUDC tingkat nasional mendapatkan 80 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan anggota tim yang lolos tahap ketiga (Grand Final) di SATRIA DATA?,,Ketua tim yang lolos tahap pertama di KBMK mendapatkan 5 poin sebagai bentuk penghargaan atas keberhasilannya melanjutkan ke tahap berikutnya.
Berapa poin yang didapatkan ketua tim yang juara I di SATRIA DATA?,,Anggota tim yang lolos tahap pertama di KBMK mendapatkan 2 poin sebagai bentuk penghargaan atas keberhasilannya melanjutkan ke tahap berikutnya.
Berapa poin yang didapatkan anggota tim yang juara I di SATRIA DATA?,,Ketua tim yang lolos tahap kedua di KBMK mendapatkan 10 poin sebagai bentuk penghargaan atas pencapaiannya melangkah ke babak semifinal.
Berapa poin yang didapatkan ketua tim yang juara II di SATRIA DATA?,,Anggota tim yang lolos tahap kedua di KBMK mendapatkan 7 poin sebagai bentuk penghargaan atas pencapaiannya melangkah ke babak semifinal.
Berapa poin yang didapatkan anggota tim yang juara II di SATRIA DATA?,,Ketua tim yang lolos tahap ketiga di KBMK mendapatkan 15 poin sebagai bentuk penghargaan atas pencapaiannya melangkah ke Grand Final.
Berapa poin yang didapatkan ketua tim yang juara III di SATRIA DATA?,,Anggota tim yang lolos tahap ketiga di KBMK mendapatkan 10 poin sebagai bentuk penghargaan atas pencapaiannya melangkah ke Grand Final.
Berapa poin yang didapatkan anggota tim yang juara III di SATRIA DATA?,,Ketua tim yang menjadi juara I di KBMK mendapatkan 50 poin sebagai bentuk apresiasi atas prestasi tertingginya dalam kompetisi ini.
Berapa poin yang didapatkan ketua tim yang lolos seleksi nasional di KMHE?,,Anggota tim yang menjadi juara I di KBMK mendapatkan 40 poin sebagai bentuk apresiasi atas prestasi tertingginya dalam kompetisi ini.
Berapa poin yang didapatkan anggota tim yang lolos seleksi nasional di KMHE?,,Ketua tim yang menjadi juara II di KBMK mendapatkan 40 poin sebagai bentuk apresiasi atas pencapaiannya di kompetisi ini.
Berapa poin yang didapatkan ketua tim yang juara I di KMHE?,,Anggota tim yang menjadi juara II di KBMK mendapatkan 30 poin sebagai bentuk apresiasi atas pencapaiannya di kompetisi ini.
Berapa poin yang didapatkan anggota tim yang juara I di KMHE?,,Ketua tim yang menjadi juara III di KBMK mendapatkan 30 poin sebagai bentuk apresiasi atas keberhasilannya meraih posisi ketiga dalam kompetisi ini.
Berapa poin yang didapatkan ketua tim yang juara II di KMHE?,,Anggota tim yang menjadi juara III di KBMK mendapatkan 20 poin sebagai bentuk apresiasi atas keberhasilannya meraih posisi ketiga dalam kompetisi ini.
Berapa poin yang didapatkan anggota tim yang juara II di KMHE?,,Ketua tim yang lolos tahap pertama di SATRIA DATA mendapatkan 5 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang juara III di KMHE?,,Anggota tim yang lolos tahap pertama di SATRIA DATA mendapatkan 2 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan anggota tim yang juara III di KMHE?,,Ketua tim yang lolos tahap kedua di SATRIA DATA mendapatkan 10 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang lolos tahap pertama di KN-MIPA?,,Anggota tim yang lolos tahap kedua di SATRIA DATA mendapatkan 7 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan anggota tim yang lolos tahap pertama di KN-MIPA?,,Ketua tim yang lolos tahap ketiga di SATRIA DATA mendapatkan 15 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang lolos tahap kedua (semifinal) di KN-MIPA?,,Anggota tim yang lolos tahap ketiga di SATRIA DATA mendapatkan 10 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan anggota tim yang lolos tahap kedua (semifinal) di KN-MIPA?,,Ketua tim yang menjadi juara I di SATRIA DATA mendapatkan 50 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang lolos tahap ketiga (Grand Final) di KN-MIPA?,,Anggota tim yang menjadi juara I di SATRIA DATA mendapatkan 40 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan anggota tim yang lolos tahap ketiga (Grand Final) di KN-MIPA?,,Ketua tim yang menjadi juara II di SATRIA DATA mendapatkan 40 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang juara I di KN-MIPA?,,Anggota tim yang menjadi juara II di SATRIA DATA mendapatkan 30 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan anggota tim yang juara I di KN-MIPA?,,Ketua tim yang menjadi juara III di SATRIA DATA mendapatkan 30 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang juara II di KN-MIPA?,,Anggota tim yang menjadi juara III di SATRIA DATA mendapatkan 20 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan anggota tim yang juara II di KN-MIPA?,,Ketua tim yang lolos seleksi nasional di KMHE mendapatkan 40 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang juara III di KN-MIPA?,,Anggota tim yang lolos seleksi nasional di KMHE mendapatkan 37 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan anggota tim yang juara III di KN-MIPA?,,Ketua tim yang juara I di KMHE mendapatkan 120 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang lolos seleksi di LKTI?,,Anggota tim yang juara I di KMHE mendapatkan 100 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan anggota tim yang lolos seleksi di LKTI?,,Ketua tim yang juara II di KMHE mendapatkan 100 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang juara I di LKTI?,,Anggota tim yang juara II di KMHE mendapatkan 85 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan anggota tim yang juara I di LKTI?,,Ketua tim yang juara III di KMHE mendapatkan 85 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang juara II di LKTI?,,Anggota tim yang juara III di KMHE mendapatkan 70 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan anggota tim yang juara II di LKTI?,,Ketua tim yang lolos tahap pertama di KN-MIPA mendapatkan 5 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang juara III di LKTI?,,Anggota tim yang lolos tahap pertama di KN-MIPA mendapatkan 2 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan anggota tim yang juara III di LKTI?,,Ketua tim yang lolos tahap kedua di KN-MIPA mendapatkan 10 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang juara individu I di LKTI?,,Anggota tim yang lolos tahap kedua di KN-MIPA mendapatkan 7 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang juara individu II di LKTI?,,Ketua tim yang lolos tahap ketiga di KN-MIPA mendapatkan 15 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang juara individu III di LKTI?,,Anggota tim yang lolos tahap ketiga di KN-MIPA mendapatkan 10 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang jurnal internasional Scopus Q1 di PUBLIKASI JURNAL?,,Ketua tim yang juara I di KN-MIPA mendapatkan 50 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang jurnal internasional Scopus Q2 di PUBLIKASI JURNAL?,,Anggota tim yang juara I di KN-MIPA mendapatkan 40 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang jurnal internasional Scopus Q3 di PUBLIKASI JURNAL?,,Ketua tim yang juara II di KN-MIPA mendapatkan 40 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang jurnal internasional Scopus Q4 di PUBLIKASI JURNAL?,,Anggota tim yang juara II di KN-MIPA mendapatkan 30 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang jurnal internasional tidak terindeks di PUBLIKASI JURNAL?,,Ketua tim yang juara III di KN-MIPA mendapatkan 30 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang jurnal nasional Sinta 1 di PUBLIKASI JURNAL?,,Anggota tim yang juara III di KN-MIPA mendapatkan 20 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang jurnal nasional Sinta 2 di PUBLIKASI JURNAL?,,Ketua tim yang lolos seleksi di LKTI mendapatkan 30 poin sebagai bentuk penghargaan.
Berapa poin yang didapatkan ketua tim yang jurnal nasional Sinta 3 di PUBLIKASI JURNAL?,,Anggota tim yang lolos seleksi di LKTI mendapatkan 20 poin sebagai bentuk penghargaan.
